T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,P_converted_W,P_injected_W,eta,masked,linear_popt_invalid,reactive_cancellation_limited,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,3.01547345e-01,2.73231301e-01,1.13697632e+01,4.98523838e+00,3.57734841e-01,5.61874946e-02,1.10363397e+00,false,true,false,1.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
0.75,8.37758041,5.56916147e-01,5.48849185e-01,1.68950987e+01,8.61294893e+00,6.32438193e-01,7.55220484e-02,1.01469796e+00,false,true,false,2.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.00,6.28318531,1.52829079e+00,1.49048191e+00,3.68369699e+00,6.62750857e+00,3.35959501e+00,1.83130422e+00,1.02536688e+00,false,true,false,2.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.25,5.02654825,1.72051955e+00,1.94117134e+00,1.43180652e+00,4.71540605e+00,5.87659603e+00,4.15607648e+00,8.86330596e-01,false,false,false,3.60000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.50,4.18879020,1.16744216e+00,2.50318359e+00,6.64455655e-01,3.64774395e+00,5.75730148e+00,4.58985932e+00,4.66382955e-01,false,false,false,4.30000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.75,3.59039160,6.13632436e-01,3.07430031e+00,3.62639128e-01,2.98645152e+00,4.00038146e+00,3.38674903e+00,1.99600681e-01,false,false,false,5.00000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.00,3.14159265,3.24468781e-01,3.57137935e+00,2.25951293e-01,2.54079953e+00,2.59071875e+00,2.26624997e+00,9.08525107e-02,false,false,false,5.70000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.25,2.79252680,1.83501397e-01,3.97597211e+00,1.54725293e-01,2.21843810e+00,1.69552007e+00,1.51201868e+00,4.61525866e-02,false,false,false,6.40000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.50,2.51327412,1.08791330e-01,4.29748303e+00,1.13208962e-01,1.97284281e+00,1.11479925e+00,1.00600792e+00,2.53151273e-02,false,false,false,7.10000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.75,2.28479466,6.70566271e-02,4.55358859e+00,8.68289956e-02,1.77850167e+00,7.36028122e-01,6.68971495e-01,1.47261058e-02,false,false,false,7.80000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.00,2.09439510,4.30049984e-02,4.76086459e+00,6.89389452e-02,1.62039250e+00,4.88564271e-01,4.45559272e-01,9.03302281e-03,false,false,false,8.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.25,1.93328779,2.78648924e-02,4.92637179e+00,5.62477929e-02,1.48888560e+00,3.14934156e-01,2.87069264e-01,5.65627070e-03,false,false,false,9.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.50,1.79519580,1.85634165e-02,5.06130514e+00,4.68742844e-02,1.37766486e+00,1.98246367e-01,1.79682950e-01,3.66771336e-03,false,false,false,9.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.75,1.67551608,1.23360607e-02,5.17228419e+00,3.97363384e-02,1.28227184e+00,1.14689523e-01,1.02353462e-01,2.38503150e-03,false,false,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.00,1.57079633,8.30996317e-03,5.26410959e+00,3.41606091e-02,1.19941716e+00,5.69528902e-02,4.86429273e-02,1.57860755e-03,false,false,false,1.13000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.25,1.47839654,5.58754837e-03,5.33934324e+00,2.97255057e-02,1.12681739e+00,1.60458559e-02,1.04583074e-02,1.04648608e-03,false,false,false,1.20000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.50,1.39626340,3.68627760e-03,5.41158073e+00,2.60816016e-02,1.06261072e+00,1.70434445e-02,1.33571668e-02,6.81183149e-04,false,false,false,1.27000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.75,1.32277585,2.38841376e-03,5.46375620e+00,2.31271783e-02,1.00543031e+00,3.60812871e-02,3.36928734e-02,4.37137689e-04,false,false,false,1.34000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.00,1.25663706,1.48963223e-03,5.51580792e+00,2.06312983e-02,9.54141619e-01,4.96140180e-02,4.81243858e-02,2.70066009e-04,false,false,false,1.41000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.25,1.19679720,8.58022063e-04,5.55622848e+00,1.85434783e-02,9.07884583e-01,5.90198558e-02,5.81618338e-02,1.54425266e-04,false,false,false,1.48000000e+03,1.00000000e-02,2.50000000e-01,260,20
