T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,P_converted_W,P_injected_W,eta,masked
0.50,12.56637061,,2.76713480e-01,1.70586934e+00,1.94326949e+00,,,,false
1.00,6.28318531,,1.46111229e+00,1.18338337e-01,1.17611428e+00,,,,false
1.50,4.18879020,,2.37811966e+00,1.50667187e-03,1.69305546e-01,,,,false
2.00,3.14159265,,,5.94131436e-05,4.22183528e-02,,,,true
2.50,2.51327412,,4.33400113e+00,2.43143513e-04,9.18165239e-02,,,,false
3.00,2.09439510,,4.75759114e+00,2.71514349e-04,1.01656451e-01,,,,false
3.50,1.79519580,,5.03325541e+00,2.47144324e-04,9.97573259e-02,,,,false
4.00,1.57079633,,5.22436057e+00,2.12831997e-04,9.43148385e-02,,,,false
4.50,1.39626340,,5.36334204e+00,1.80823180e-04,8.80825323e-02,,,,false
5.00,1.25663706,,5.46419521e+00,1.53727115e-04,8.19753605e-02,,,,false
5.50,1.14239733,,5.55517717e+00,1.31098579e-04,7.63295922e-02,,,,false
6.00,1.04719755,,5.56801244e+00,1.13890145e-04,7.12259360e-02,,,,false
6.50,0.96664389,,,9.89496642e-05,6.66371628e-02,,,,true
7.00,0.89759790,,,8.51985784e-05,6.25433277e-02,,,,true
