T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,P_converted_W,P_injected_W,eta,masked,linear_popt_invalid
0.50,12.56637061,2.95784146e-01,2.82206595e-01,1.55277675e+00,1.87233296e+00,3.36579590e-01,4.07954435e-02,,false,true
0.75,8.37758041,5.70754678e-01,5.53510630e-01,1.05222359e+00,2.15854941e+00,7.34027328e-01,1.63272648e-01,,false,true
1.00,6.28318531,1.32569239e+00,1.46007922e+00,7.68732814e-02,9.47590971e-01,4.34443103e+00,3.01873864e+00,9.07959216e-01,false,false
1.25,5.02654825,8.65657581e-01,1.88740429e+00,8.21002949e-03,3.52086863e-01,4.76127293e+00,3.89561535e+00,4.58649789e-01,false,false
1.50,4.18879020,3.53101509e-01,2.37579261e+00,4.27783547e-04,9.01698392e-02,2.91855740e+00,2.56545589e+00,1.48624719e-01,false,false
1.75,3.59039160,1.49760437e-01,,3.01654391e-05,2.80810811e-02,1.63869742e+00,1.48893698e+00,,true,false
2.00,3.14159265,6.08777529e-02,3.58747917e+00,2.37988212e-04,8.26451573e-02,9.16282119e-01,8.55404366e-01,1.69695070e-02,false,false
2.25,2.79252680,3.62504949e-02,3.96355551e+00,3.66152766e-04,1.07750334e-01,5.18396570e-01,4.82146075e-01,9.14595362e-03,false,false
2.50,2.51327412,1.82566491e-02,4.26844356e+00,4.10959761e-04,1.18462097e-01,2.82706608e-01,2.64449958e-01,4.27712088e-03,false,false
2.75,2.28479466,1.26722314e-02,4.51350638e+00,4.11192580e-04,1.21849754e-01,1.43851894e-01,1.31179663e-01,2.80762456e-03,false,false
3.00,2.09439510,6.44268171e-03,4.71040903e+00,3.91200784e-04,1.21415508e-01,5.71794940e-02,5.07368123e-02,1.36775419e-03,false,false
3.25,1.93328779,3.77632219e-03,4.87120707e+00,3.63085857e-04,1.18950961e-01,4.17788385e-03,4.01561660e-04,7.75233353e-04,false,false
3.50,1.79519580,1.90337157e-03,5.00813514e+00,3.32879318e-04,1.15485224e-01,3.24892303e-02,3.05858587e-02,3.80055953e-04,false,false
3.75,1.67551608,1.51959522e-03,5.11397201e+00,3.04006108e-04,1.11523225e-01,5.32773836e-02,5.17577883e-02,2.97145783e-04,false,false
4.00,1.57079633,-1.07144175e-04,5.20011020e+00,2.77323433e-04,1.07409959e-01,6.49431998e-02,6.50503439e-02,-2.06042124e-05,false,false
4.25,1.47839654,-1.55891868e-03,5.27962288e+00,2.52679776e-04,1.03307460e-01,7.11801231e-02,7.27390417e-02,-2.95270840e-04,false,false
4.50,1.39626340,1.49505578e-04,5.34112683e+00,2.30876814e-04,9.93234050e-02,7.62622611e-02,7.61127555e-02,2.79913926e-05,false,false
4.75,1.32277585,5.84296281e-05,5.39169822e+00,2.11351862e-04,9.54796505e-02,7.81902335e-02,7.81318038e-02,1.08369619e-05,false,false
5.00,1.25663706,-2.98142124e-03,5.44166204e+00,1.93745933e-04,9.18389848e-02,7.64390725e-02,7.94204937e-02,-5.47887982e-04,false,false
5.25,1.19679720,3.92309074e-04,5.48509355e+00,1.78041265e-04,8.83888225e-02,7.44745123e-02,7.40822031e-02,7.15227680e-05,false,false
5.50,1.14239733,-6.54951429e-04,5.51631028e+00,1.64211744e-04,8.51278064e-02,7.30369254e-02,7.36918768e-02,-1.18729984e-04,false,false
5.75,1.09272788,-1.46399313e-04,5.55990000e+00,1.51389674e-04,8.20590738e-02,7.13851089e-02,7.15315082e-02,-2.63312852e-05,false,false
6.00,1.04719755,-1.90262084e-04,5.58979424e+00,1.40177172e-04,7.91738113e-02,7.16417603e-02,7.18320224e-02,-3.40374039e-05,false,false
6.25,1.00530965,-1.86397633e-04,5.60440047e+00,1.30370921e-04,7.64539522e-02,6.97784317e-02,6.99648294e-02,-3.32591567e-05,false,false
6.50,0.96664389,2.48220337e-04,5.62429215e+00,1.21345678e-04,7.38909221e-02,6.82573684e-02,6.80091481e-02,4.41336136e-05,false,false
6.75,0.93084227,3.20679925e-04,5.64638499e+00,1.13116136e-04,7.14813125e-02,6.44279920e-02,6.41073121e-02,5.67938470e-05,false,false
7.00,0.89759790,5.34326572e-04,5.67115920e+00,1.05600784e-04,6.92172727e-02,1.44341145e-01,1.43806818e-01,9.42182283e-05,false,false
