flap_angle,kp,kd,period_s,mean_power_w,max_pitch_rad,max_tau_nm,clamp_frac,corr_tau_vel,passive_safe,no_clamp,pitch_ok,edge_ok
10,2,0.0,2.5,1.534132e-02,0.010000,0.029200,0.0000,-0.219689,1,1,1,1
10,2,0.0,3.0,4.357240e-02,0.010000,0.029200,0.0000,-0.311656,1,1,1,1
10,2,0.0,3.5,1.074855e-01,0.010000,0.029200,0.0000,-0.502618,1,1,1,1
10,2,0.0,4.29,2.234389e-01,0.010000,0.029200,0.0000,-0.799896,1,1,1,1
10,2,0.0,5.0,1.589099e-01,0.010000,0.029200,0.0000,-0.646022,1,1,1,1
10,2,0.0,5.5,1.135263e-01,0.010000,0.029200,0.0000,-0.519917,1,1,1,1
10,2,0.0,6.0,8.432574e-02,0.010000,0.029200,0.0000,-0.435202,1,1,1,1
10,2,0.5,2.5,1.423457e-02,0.010000,0.039858,0.0000,-0.219689,1,1,1,1
10,2,0.5,3.0,4.167911e-02,0.010000,0.039858,0.0000,-0.311656,1,1,1,1
10,2,0.5,3.5,1.050178e-01,0.010000,0.039858,0.0000,-0.502618,1,1,1,1
10,2,0.5,4.29,2.233683e-01,0.010000,0.039858,0.0000,-0.799896,1,1,1,1
10,2,0.5,5.0,1.566965e-01,0.010000,0.039858,0.0000,-0.648808,1,1,1,1
10,2,0.5,5.5,1.110566e-01,0.010000,0.039858,0.0000,-0.524268,1,1,1,1
10,2,0.5,6.0,8.194151e-02,0.010000,0.039858,0.0000,-0.440857,1,1,1,1
10,2,1.0,2.5,1.312781e-02,0.010000,0.050516,0.0000,-0.219689,1,1,1,1
10,2,1.0,3.0,3.978581e-02,0.010000,0.050516,0.0000,-0.311656,1,1,1,1
10,2,1.0,3.5,1.025501e-01,0.010000,0.050516,0.0000,-0.502618,1,1,1,1
10,2,1.0,4.29,2.232978e-01,0.010000,0.050516,0.0000,-0.799896,1,1,1,1
10,2,1.0,5.0,1.544830e-01,0.010000,0.050516,0.0000,-0.651594,1,1,1,1
10,2,1.0,5.5,1.085870e-01,0.010000,0.050516,0.0000,-0.528618,1,1,1,1
10,2,1.0,6.0,7.955727e-02,0.010000,0.050516,0.0000,-0.446512,1,1,1,1
10,2,2.0,2.5,1.091430e-02,0.010000,0.071832,0.0000,-0.219689,1,1,1,1
10,2,2.0,3.0,3.599922e-02,0.010000,0.071832,0.0000,-0.311656,1,1,1,1
10,2,2.0,3.5,9.761466e-02,0.010000,0.071832,0.0000,-0.502618,1,1,1,1
10,2,2.0,4.29,2.231566e-01,0.010000,0.071832,0.0000,-0.799896,1,1,1,1
10,2,2.0,5.0,1.500561e-01,0.010000,0.071832,0.0000,-0.657165,1,1,1,1
10,2,2.0,5.5,1.036478e-01,0.010000,0.071832,0.0000,-0.537320,1,1,1,1
10,2,2.0,6.0,7.478879e-02,0.010000,0.071832,0.0000,-0.457822,1,1,1,1
10,2,3.0,2.5,8.700794e-03,0.010000,0.093148,0.0000,-0.219689,1,1,1,1
