T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,1.77121393e-01,2.67545620e-01,2.10156888e+00,2.12087821e+00,6.62023146e-01,false,8.50000000e+01,1.00000000e-02,2.50000000e-01,130,20
0.75,8.37758041,4.79353531e-01,5.42553127e-01,2.79216841e+00,3.48126379e+00,8.83514456e-01,false,1.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.00,6.28318531,6.36444811e-01,1.47141626e+00,5.73378486e-01,2.59796601e+00,4.32538929e-01,false,1.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.25,5.02654825,5.79838594e-01,1.92286937e+00,1.15001427e-01,1.33006082e+00,3.01548615e-01,false,1.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.50,4.18879020,5.18414211e-01,2.49127255e+00,2.64482416e-02,7.26029080e-01,2.08092130e-01,false,2.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.75,3.59039160,4.49835561e-01,3.07976243e+00,7.30780994e-03,4.24323636e-01,1.46061773e-01,false,2.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.00,3.14159265,4.00164119e-01,3.60740948e+00,2.41521186e-03,2.64009972e-01,1.10928388e-01,false,3.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.25,2.79252680,3.64645534e-01,4.06557725e+00,9.13787229e-04,1.72396579e-01,8.96909619e-02,false,3.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.50,2.51327412,3.39839840e-01,4.46961991e+00,3.80465162e-04,1.16637375e-01,7.60332750e-02,false,3.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.75,2.28479466,3.22798633e-01,4.76755238e+00,1.71622182e-04,8.09057595e-02,6.77074119e-02,false,4.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.00,2.09439510,3.10869446e-01,,7.90090789e-05,5.70382262e-02,,true,4.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.25,1.93328779,3.06058023e-01,,3.64892801e-05,4.06081342e-02,,true,4.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.50,1.79519580,3.05198402e-01,,1.83050962e-05,2.89342303e-02,,true,5.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.75,1.67551608,3.12981160e-01,,7.61662072e-06,2.05115098e-02,,true,5.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.00,1.57079633,3.28182875e-01,,3.28395623e-06,1.42789606e-02,,true,6.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.25,1.47839654,3.58787134e-01,,4.85328905e-07,9.60894288e-03,,true,6.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.50,1.39626340,4.26818195e-01,,1.69954215e-07,6.04680559e-03,,true,6.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.75,1.32277585,6.07360269e-01,,9.83085924e-07,3.34523119e-03,,true,7.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.00,1.25663706,6.84969223e-01,,4.20106573e-07,1.22876081e-03,,true,7.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.25,1.19679720,4.75504919e-01,,-5.00539177e-07,4.17085000e-04,,true,7.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.50,1.14239733,2.59416236e-01,,2.89848302e-07,1.69574699e-03,,true,8.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.75,1.09272788,9.40802798e-02,,3.83949784e-07,2.70753341e-03,,true,8.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.00,1.04719755,2.15918342e-02,,2.77391704e-07,3.50853116e-03,,true,9.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.25,1.00530965,8.43890725e-02,,4.68669459e-07,4.13465905e-03,,true,9.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.50,0.96664389,1.16336440e-01,,2.18432373e-07,4.62136613e-03,,true,9.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.75,0.93084227,1.26874525e-01,,7.13789264e-07,5.00989329e-03,,true,1.02250000e+03,1.00000000e-02,2.50000000e-01,130,20
7.00,0.89759790,1.24963297e-01,,1.66072911e-06,5.32552518e-03,,true,1.06000000e+03,1.00000000e-02,2.50000000e-01,130,20
