T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked
0.50,12.56637061,1.86318658e-01,2.71368052e-01,1.86649222e+00,2.01297065e+00,6.86590247e-01,false
0.75,8.37758041,3.07524865e-01,5.44836416e-01,1.84861944e+00,2.83858442e+00,5.64435226e-01,false
1.00,6.28318531,2.79883771e-01,1.45993687e+00,1.89375794e-01,1.48721674e+00,1.91709502e-01,false
1.25,5.02654825,2.04200585e-01,1.89223689e+00,2.79356961e-02,6.50298114e-01,1.07914916e-01,false
1.50,4.18879020,1.58020805e-01,2.42416790e+00,3.88054914e-03,2.74329768e-01,6.51855861e-02,false
1.75,3.59039160,1.27610582e-01,2.92564519e+00,4.08450105e-04,9.77744377e-02,4.36179281e-02,false
2.00,3.14159265,1.04228882e-01,,5.96103665e-06,1.17034936e-02,,true
2.25,2.79252680,8.20480752e-02,,3.82882853e-05,3.51739571e-02,,true
2.50,2.51327412,5.57614258e-02,4.29146581e+00,1.01297215e-04,5.89720975e-02,1.29935617e-02,false
2.75,2.28479466,1.48108681e-02,4.51835458e+00,1.41805401e-04,7.15948090e-02,3.27793400e-03,false
3.00,2.09439510,7.39289329e-02,4.69493282e+00,1.61790805e-04,7.79536765e-02,1.57465369e-02,false
3.25,1.93328779,7.54681984e-01,4.84582704e+00,1.67819294e-04,8.06584539e-02,1.55738531e-01,false
3.50,1.79519580,5.84415652e-01,4.98301249e+00,1.65625383e-04,8.12558110e-02,1.17281595e-01,false
3.75,1.67551608,4.01193089e-01,5.12821646e+00,1.58180909e-04,8.05573556e-02,7.82324796e-02,false
4.00,1.57079633,2.79798981e-01,5.16714368e+00,1.51462913e-04,7.91267658e-02,5.41496420e-02,false
4.25,1.47839654,2.02743243e-01,5.24169171e+00,1.42364551e-04,7.72647958e-02,3.86789712e-02,false
4.50,1.39626340,1.47367767e-01,5.37437701e+00,1.31469649e-04,7.51833736e-02,2.74204372e-02,false
4.75,1.32277585,1.10181475e-01,5.38214199e+00,1.23659722e-04,7.29687156e-02,2.04716776e-02,false
5.00,1.25663706,8.54014341e-02,5.36676572e+00,1.16575421e-04,7.07464755e-02,1.59130170e-02,false
5.25,1.19679720,6.64971343e-02,5.55336699e+00,1.05737967e-04,6.85391411e-02,1.19742013e-02,false
5.50,1.14239733,5.47486848e-02,,9.95615114e-05,6.63749388e-02,,true
5.75,1.09272788,4.45084935e-02,,9.29162597e-05,6.42845706e-02,,true
6.00,1.04719755,3.65021608e-02,,8.58783222e-05,6.22771985e-02,,true
6.25,1.00530965,3.12504970e-02,,8.25890975e-05,6.03481327e-02,,true
6.50,0.96664389,2.65746397e-02,,7.72433011e-05,5.85011482e-02,,true
6.75,0.93084227,2.30208562e-02,,7.14503059e-05,5.67452484e-02,,true
7.00,0.89759790,1.97093005e-02,,6.58628209e-05,5.50815167e-02,,true
