T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,1.26317342e-02,2.74018656e-01,1.19835659e+01,5.12540390e+00,4.60980809e-02,false,8.50000000e+01,1.00000000e-02,2.50000000e-01,130,20
0.75,8.37758041,2.12308271e-02,5.50462618e-01,1.94534280e+01,9.25565120e+00,3.85690625e-02,false,1.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.00,6.28318531,2.14194716e-02,1.48603119e+00,4.66974913e+00,7.45084847e+00,1.44138775e-02,false,1.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.25,5.02654825,2.11879892e-02,1.93597743e+00,1.86177539e+00,5.36980829e+00,1.09443369e-02,false,1.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.50,4.18879020,2.16642122e-02,2.49641182e+00,8.75154275e-01,4.18066547e+00,8.67814038e-03,false,2.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.75,3.59039160,2.31431590e-02,3.06603986e+00,4.80707958e-01,3.43379645e+00,7.54822510e-03,false,2.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.00,3.14159265,2.57186562e-02,3.56137729e+00,3.00669462e-01,2.92683774e+00,7.22154777e-03,false,3.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.25,2.79252680,2.96600774e-02,3.96411088e+00,2.06413586e-01,2.55850947e+00,7.48215131e-03,false,3.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.50,2.51327412,3.58217488e-02,4.28500225e+00,1.51257639e-01,2.27708466e+00,8.35979697e-03,false,3.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.75,2.28479466,4.60333525e-02,4.54038697e+00,1.16148750e-01,2.05399176e+00,1.01386408e-02,false,4.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.00,2.09439510,6.48400233e-02,4.74608656e+00,9.23138543e-02,1.87217423e+00,1.36617869e-02,false,4.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.25,1.93328779,6.14728403e-01,4.90960606e+00,7.53926365e-02,1.72080945e+00,1.25209313e-01,false,4.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.50,1.79519580,4.20243842e-01,5.04452998e+00,6.28545253e-02,1.59266202e+00,8.33068380e-02,false,5.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.75,1.67551608,2.86714804e-01,5.15554073e+00,5.33004275e-02,1.48268007e+00,5.56129452e-02,false,5.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.00,1.57079633,1.97037861e-01,5.24620007e+00,4.58471045e-02,1.38714983e+00,3.75582056e-02,false,6.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.25,1.47839654,1.36217515e-01,5.32606374e+00,3.98688216e-02,1.30336145e+00,2.55756449e-02,false,6.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.50,1.39626340,9.38006835e-02,5.39196801e+00,3.50295074e-02,1.22923711e+00,1.73963724e-02,false,6.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.75,1.32277585,6.50290220e-02,5.44718347e+00,3.10491308e-02,1.16320355e+00,1.19381002e-02,false,7.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.00,1.25663706,4.58366177e-02,5.49702844e+00,2.77126316e-02,1.10394610e+00,8.33843561e-03,false,7.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.25,1.19679720,3.28514659e-02,5.54071077e+00,2.48962100e-02,1.05049588e+00,5.92910680e-03,false,7.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.50,1.14239733,2.39203312e-02,5.58060378e+00,2.24899809e-02,1.00202863e+00,4.28633390e-03,false,8.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.75,1.09272788,1.77548287e-02,5.60765790e+00,2.04521495e-02,9.57867037e-01,3.16617544e-03,false,8.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.00,1.04719755,1.35004655e-02,5.63554232e+00,1.86699744e-02,9.17454874e-01,2.39559296e-03,false,9.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.25,1.00530965,1.05518094e-02,5.66285374e+00,1.71070450e-02,8.80339452e-01,1.86333780e-03,false,9.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.50,0.96664389,8.48498511e-03,5.68098285e+00,1.57528242e-02,8.46127763e-01,1.49357696e-03,false,9.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.75,0.93084227,7.03182051e-03,5.70281358e+00,1.45407768e-02,8.14485551e-01,1.23304408e-03,false,1.02250000e+03,1.00000000e-02,2.50000000e-01,130,20
7.00,0.89759790,6.05004892e-03,5.73105825e+00,1.34448992e-02,7.85129291e-01,1.05565999e-03,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,130,20
