T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked
0.50,12.56637061,1.00000000e-02,2.67545620e-01,2.10156888e+00,2.12087821e+00,3.73768033e-02,false
1.00,6.28318531,,1.47141626e+00,5.73378486e-01,2.59796601e+00,,false
1.50,4.18879020,,2.49127255e+00,2.64482416e-02,7.26029080e-01,,false
2.00,3.14159265,1.20000000e-02,3.60740948e+00,2.41521186e-03,2.64009972e-01,3.32648680e-03,false
2.50,2.51327412,6.00000000e-03,4.46961991e+00,3.80465162e-04,1.16637375e-01,1.34239602e-03,false
3.00,2.09439510,1.38000000e-01,,7.90090789e-05,5.70382262e-02,,true
3.50,1.79519580,,,1.83050962e-05,2.89342303e-02,,true
4.00,1.57079633,3.80000000e-01,,3.28395623e-06,1.42789606e-02,,true
4.50,1.39626340,,,1.69954215e-07,6.04680559e-03,,true
5.00,1.25663706,4.30000000e-01,,4.20106573e-07,1.22876081e-03,,true
5.50,1.14239733,,,2.89848302e-07,1.69574699e-03,,true
6.00,1.04719755,2.18000000e-01,,2.77391704e-07,3.50853116e-03,,true
6.50,0.96664389,,,2.18432373e-07,4.62136613e-03,,true
7.00,0.89759790,1.12000000e-01,,1.66072911e-06,5.32552518e-03,,true
