T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,4.02544787e-02,2.78171379e-01,9.80809720e+00,4.67190062e+00,1.44711073e-01,false,1.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
0.75,8.37758041,4.65091565e-02,5.46956592e-01,1.12212201e+01,7.00715080e+00,8.50326282e-02,false,2.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.00,6.28318531,1.94100100e-02,1.48804428e+00,2.02859432e+00,4.91417392e+00,1.30439734e-02,false,2.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.25,5.02654825,1.45518137e-02,1.93645612e+00,7.60775185e-01,3.43302521e+00,7.51466224e-03,false,3.60000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.50,4.18879020,1.22809553e-02,2.49738410e+00,3.46562126e-01,2.63134756e+00,4.91752762e-03,false,4.30000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.75,3.59039160,3.56057444e-02,3.06851788e+00,1.87279074e-01,2.14414400e+00,1.16035643e-02,false,5.00000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.00,3.14159265,2.46903955e-01,3.56614681e+00,1.15992314e-01,1.81911104e+00,6.92354993e-02,false,5.70000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.25,2.79252680,3.24476155e-01,3.97037498e+00,7.91292715e-02,1.58536527e+00,8.17243098e-02,false,6.40000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.50,2.51327412,3.76121484e-01,4.29315643e+00,5.77279479e-02,1.40807702e+00,8.76095457e-02,false,7.10000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.75,2.28479466,4.88370645e-01,4.55001385e+00,4.41802773e-02,1.26813524e+00,1.07333881e-01,false,7.80000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.00,2.09439510,6.25137544e-01,4.75720674e+00,3.50286510e-02,1.15460308e+00,1.31408530e-01,false,8.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.25,1.93328779,4.85567627e-01,4.92343276e+00,2.85471875e-02,1.06037789e+00,9.86237958e-02,false,9.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.50,1.79519580,3.61649272e-01,5.05732144e+00,2.37684820e-02,9.80631852e-01,7.15100426e-02,false,9.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.75,1.67551608,2.71597851e-01,5.16699816e+00,2.01366719e-02,9.12342684e-01,5.25639535e-02,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.00,1.57079633,2.12558817e-01,5.26016338e+00,1.72978542e-02,8.53180117e-01,4.04091664e-02,false,1.13000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.25,1.47839654,1.75476130e-01,5.33775790e+00,1.50382425e-02,8.01351347e-01,3.28745015e-02,false,1.20000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.50,1.39626340,1.48766905e-01,5.41108348e+00,1.31870302e-02,7.55545479e-01,2.74929976e-02,false,1.27000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.75,1.32277585,1.28488134e-01,5.46301831e+00,1.16899956e-02,7.14773586e-01,2.35196235e-02,false,1.34000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.00,1.25663706,1.13222445e-01,5.51340259e+00,1.04285927e-02,6.78215481e-01,2.05358566e-02,false,1.41000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.25,1.19679720,1.01586135e-01,5.55296575e+00,9.37233932e-03,6.45255170e-01,1.82940323e-02,false,1.48000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.50,1.14239733,9.17200503e-02,5.59218103e+00,8.46496488e-03,6.15386812e-01,1.64014809e-02,false,1.55000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.75,1.09272788,8.30202708e-02,5.63452934e+00,7.67490340e-03,5.88180029e-01,1.47341980e-02,false,1.62000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.00,1.04719755,7.46857807e-02,5.65373123e+00,7.01530406e-03,5.63294904e-01,1.32099984e-02,false,1.69000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.25,1.00530965,6.76501815e-02,5.67729330e+00,6.43097175e-03,5.40448058e-01,1.19159215e-02,false,1.76000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.50,0.96664389,6.13369035e-02,5.69866335e+00,5.91691049e-03,5.19372552e-01,1.07633843e-02,false,1.83000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.75,0.93084227,5.59817772e-02,5.72010272e+00,5.46088816e-03,4.99894718e-01,9.78684823e-03,false,1.90000000e+03,1.00000000e-02,2.50000000e-01,260,20
7.00,0.89759790,5.17178421e-02,5.74382499e+00,5.05256147e-03,4.81838386e-01,9.00407694e-03,false,1.97000000e+03,1.00000000e-02,2.50000000e-01,260,20
