T_s,P_max_W,controller,flap_angle
0.5,0.295784146,CC,90
0.75,0.570754678,CC,90
1.0,1.49704248,CC,0
1.25,1.92976734,CC,0
1.5,2.34265974,CC,0
1.75,1.95747302,CC,0
2.0,1.28885275,CC,0
2.25,0.814868845,CC,0
2.5,0.523790009,CC,0
2.75,0.546724931,ff+PID,90
3.0,0.631551176,ff+PID,45
3.25,0.754681984,opt_passive,20
3.5,0.772139065,opt_passive,10
3.75,0.629116058,ff+PID,10
4.0,0.511379833,ff+PID,10
4.25,0.439413836,ff+PID,0
4.5,0.653385679,opt_passive,0
4.75,0.681379177,opt_passive,0
5.0,0.592721708,opt_passive,0
5.25,0.497688356,opt_passive,0
5.5,0.419353512,opt_passive,0
5.75,0.347946047,opt_passive,0
6.0,0.289733358,opt_passive,0
6.25,0.246003927,opt_passive,0
6.5,0.206396684,opt_passive,0
6.75,0.175729589,opt_passive,0
7.0,0.147775693,opt_passive,0
